latitude,longitude,intensity
48.89641,2.34436,2
48.89836,2.38446,2
48.708207,2.453597,1
48.81977,2.3457,1
48.82112,2.35629,1
48.82136,2.36802,1
48.822065,2.34666,1
48.82221,2.3548,1
48.82249,2.36047,1
48.822498,2.345697,1
48.82252,2.35661,1
48.82322,2.33431,1
48.82355,2.3479,1
48.82375,2.34129,1
48.82378,2.32908,1
48.82391,2.3493,1
48.82401,2.32287,1
48.82415,2.35502,1
48.82434,2.34007,1
48.82463,2.32462,1
48.82494,2.32045,1
48.82507,2.34139,1
48.82507,2.35133,1
48.82509,2.34982,1
48.82555,2.34747,1
48.82566,2.34942,1
48.82578,2.34951,1
48.82585,2.32424,1
48.82593,2.34782,1
48.826178,2.329161,1
48.82627,2.33184,1
48.82628,2.31211,1
48.82642,2.32983,1
48.82664,2.33401,1
48.82664,2.35123,1
48.82665,2.339501,1
48.82668,2.35036,1
48.82674,2.310584,1
48.826794,2.348166,1
48.826843,2.356393,1
48.82689,2.33805,1
48.82702,2.34694,1
48.82703,2.3371,1
48.82709,2.35728,1
48.82736,2.35719,1
48.827396,2.368612,1
48.827427,2.3157,1
48.827835,2.330464,1
48.828041,2.34526,1
48.828262,2.314345,1
48.82836,2.32639,1
48.828533,2.36967,1
48.82861,2.30385,1
48.828698,2.324635,1
48.82874,2.3285,1
48.82874,2.37618,1
48.82877,2.37251,1
48.82879,2.33421,1
48.82889,2.32137,1
48.828991,2.320496,1
48.82901,2.32613,1
48.82913,2.38234,1
48.82916,2.33306,1
48.8292,2.30224,1
48.82921,2.32322,1
48.82936,2.33448,1
48.82936,2.42654,1
48.82952,2.33303,1
48.829549,2.318422,1
48.829571,2.322911,1
48.82962,2.314962,1
48.829624,2.320793,1
48.82969,2.33118,1
48.82969,2.33271,1
48.82988,2.31966,1
48.829893,2.314742,1
48.8299,2.34672,1
48.83034,2.31512,1
48.83043,2.34041,1
48.83069,2.31878,1
48.83077,2.32393,1
48.83077,2.34359,1
48.83093,2.32384,1
48.83094,2.3035,1
48.830959,2.353002,1
48.8312,2.33006,1
48.83133,2.32734,1
48.831419,2.322814,1
48.83144,2.31947,1
48.83144,2.325568,1
48.83144,2.34369,1
48.83145,2.30405,1
48.83148,2.34354,1
48.8315,2.32182,1
48.831609,2.322822,1
48.831676,2.375289,1
48.83172,2.34642,1
48.83173,2.29693,1
48.8318,2.30627,1
48.832146,2.290284,1
48.83218,2.3294,1
48.83241,2.32262,1
48.83244,2.28944,1
48.83257,2.30117,1
48.83275,2.31796,1
48.83279,2.32485,1
48.83285,2.32298,1
48.83286,2.35118,1
48.8329,2.31995,1
48.8329,2.33097,1
48.83291,2.32407,1
48.83314,2.29159,1
48.8332,2.29634,1
48.83346,2.32431,1
48.833488,2.296032,1
48.833504,2.315664,1
48.83353,2.35974,1
48.83354,2.31806,1
48.833701,2.28637,1
48.83371,2.29824,1
48.8338,2.32325,1
48.83382,2.3984,1
48.833824,2.287216,1
48.83388,2.35515,1
48.83391,2.29511,1
48.83402,2.39455,1
48.83416,2.295463,1
48.83423,2.31873,1
48.83437,2.34527,1
48.83443,2.29947,1
48.834431,2.2908,1
48.83445,2.28841,1
48.83453,2.32855,1
48.83456,2.29004,1
48.83458,2.32135,1
48.83463,2.32501,1
48.83477,2.35476,1
48.83482,2.28876,1
48.83486,2.28406,1
48.83499,2.30462,1
48.83518,2.32182,1
48.8352,2.32546,1
48.83537,2.30184,1
48.83539,2.34498,1
48.8354,2.32887,1
48.83552,2.32278,1
48.835586,2.316973,1
48.83565,2.30002,1
48.83569,2.32231,1
48.83579,2.40254,1
48.83593,2.3923,1
48.83597,2.32534,1
48.83599,2.28977,1
48.83612,2.39541,1
48.83613,2.30287,1
48.83615,2.32539,1
48.83615,2.35796,1
48.83629,2.28138,1
48.83629,2.30034,1
48.83634,2.29986,1
48.83638,2.32474,1
48.836392,2.299436,1
48.83641,2.32269,1
48.836514,2.295333,1
48.8366,2.30472,1
48.83676,2.34521,1
48.836769,2.292616,1
48.8368,2.284,1
48.83692,2.347,1
48.83699,2.40458,1
48.8372,2.27846,1
48.83721,2.33693,1
48.837215,2.261754,1
48.83736,2.32185,1
48.83738,2.29996,1
48.837478,2.282692,1
48.837547,2.35171,1
48.837593,2.289363,1
48.83763,2.33585,1
48.8379,2.31103,1
48.83797,2.25882,1
48.83811,2.29928,1
48.83817,2.287946,1
48.8382,2.40268,1
48.83833,2.28091,1
48.83833,2.28722,1
48.83835,2.26043,1
48.83843,2.25838,1
48.83844,2.3048,1
48.8385,2.26087,1
48.83853,2.2918,1
48.83853,2.33221,1
48.83861,2.39884,1
48.83863,2.31412,1
48.83874,2.30403,1
48.83884,2.29091,1
48.83891,2.28276,1
48.83904,2.34587,1
48.83906,2.29068,1
48.839226,2.282982,1
48.839272,2.400408,1
48.83937,2.3551,1
48.8394,2.26272,1
48.83951,2.34003,1
48.83951,2.40417,1
48.83952,2.39329,1
48.83955,2.33917,1
48.83958,2.28384,1
48.839687,2.34028,1
48.8397,2.25769,1
48.83971,2.33662,1
48.83972,2.26676,1
48.83974,2.33235,1
48.83984,2.30221,1
48.83992,2.26539,1
48.839991,2.295411,1
48.84002,2.34674,1
48.84018,2.26289,1
48.84024,2.29946,1
48.84031,2.29861,1
48.84039,2.30871,1
48.8405,2.28789,1
48.84053,2.34657,1
48.84064,2.26318,1
48.840774,2.352706,1
48.84083,2.35179,1
48.84092,2.26627,1
48.84103,2.40576,1
48.841118,2.352752,1
48.84112,2.26736,1
48.84113,2.38603,1
48.84117,2.35628,1
48.84118,2.26481,1
48.84119,2.30257,1
48.84124,2.281321,1
48.84128,2.27782,1
48.8413,2.35384,1
48.84139,2.26434,1
48.84146,2.40127,1
48.84147,2.35056,1
48.84155,2.323017,1
48.84158,2.35213,1
48.84159,2.32724,1
48.84162,2.31318,1
48.84165,2.26411,1
48.84168,2.25789,1
48.84168,2.28139,1
48.84171,2.2909,1
48.84174,2.31452,1
48.84175,2.308793,1
48.84184,2.26229,1
48.84185,2.2664,1
48.84189,2.32269,1
48.84194,2.26428,1
48.84196,2.2762,1
48.842008,2.352174,1
48.84206,2.31422,1
48.84211,2.33363,1
48.84212,2.30396,1
48.842125,2.359799,1
48.842129,2.280374,1
48.842148,2.352383,1
48.8422,2.30651,1
48.84225,2.26766,1
48.84234,2.28625,1
48.84241,2.25856,1
48.84243,2.29089,1
48.842542,2.277699,1
48.84255,2.30569,1
48.842606,2.348118,1
48.84263,2.28303,1
48.842648,2.352522,1
48.84266,2.26048,1
48.84269,2.26809,1
48.842712,2.281918,1
48.84293,2.26311,1
48.84293,2.27036,1
48.84293,2.30856,1
48.842979,2.257516,1
48.84299,2.29352,1
48.84301,2.33757,1
48.843044,2.257281,1
48.84307,2.2815,1
48.84312,2.27895,1
48.84313,2.32087,1
48.84314,2.30402,1
48.84329,2.33139,1
48.84331,2.28377,1
48.84336,2.26033,1
48.8434,2.30982,1
48.84349,2.31471,1
48.843491,2.351834,1
48.84355,2.31434,1
48.84358,2.28239,1
